ablation,feature,fold,importance,importance_type,model_name
lgbm_stack,base_poisson_prob_home_win,world_cup_2018,5555.1610751450,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_home_win,world_cup_2018,252.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_draw,world_cup_2018,1875.8100237697,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_draw,world_cup_2018,313.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_away_win,world_cup_2018,7965.9281323254,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_away_win,world_cup_2018,282.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_home_goals,world_cup_2018,1672.0990719497,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_home_goals,world_cup_2018,467.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_away_goals,world_cup_2018,1792.3004259095,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_away_goals,world_cup_2018,588.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_home_win,world_cup_2018,1991.2996369004,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_home_win,world_cup_2018,183.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_draw,world_cup_2018,1816.7649759427,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_draw,world_cup_2018,277.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_away_win,world_cup_2018,5063.9490815997,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_away_win,world_cup_2018,188.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_log_home_away_ratio,world_cup_2018,15157.4090627581,gain,contextual_lgbm_v1
lgbm_stack,base_poisson_log_home_away_ratio,world_cup_2018,324.0000000000,split,contextual_lgbm_v1
lgbm_stack,home_elo_pre,world_cup_2018,2309.1460071802,gain,contextual_lgbm_v1
lgbm_stack,home_elo_pre,world_cup_2018,837.0000000000,split,contextual_lgbm_v1
lgbm_stack,away_elo_pre,world_cup_2018,2894.8466793429,gain,contextual_lgbm_v1
lgbm_stack,away_elo_pre,world_cup_2018,884.0000000000,split,contextual_lgbm_v1
lgbm_stack,elo_difference_pre,world_cup_2018,3104.3833862208,gain,contextual_lgbm_v1
lgbm_stack,elo_difference_pre,world_cup_2018,757.0000000000,split,contextual_lgbm_v1
lgbm_stack,neutral,world_cup_2018,286.8609858602,gain,contextual_lgbm_v1
lgbm_stack,neutral,world_cup_2018,84.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_confederation_championship,world_cup_2018,178.8536898643,gain,contextual_lgbm_v1
lgbm_stack,competition_category_confederation_championship,world_cup_2018,61.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_confederation_qualifier,world_cup_2018,55.4282105565,gain,contextual_lgbm_v1
lgbm_stack,competition_category_confederation_qualifier,world_cup_2018,22.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_friendly,world_cup_2018,527.2264162600,gain,contextual_lgbm_v1
lgbm_stack,competition_category_friendly,world_cup_2018,142.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_other_official,world_cup_2018,205.6025350690,gain,contextual_lgbm_v1
lgbm_stack,competition_category_other_official,world_cup_2018,48.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_world_cup,world_cup_2018,17.8391500711,gain,contextual_lgbm_v1
lgbm_stack,competition_category_world_cup,world_cup_2018,10.0000000000,split,contextual_lgbm_v1
lgbm_stack,competition_category_world_cup_qualifier,world_cup_2018,322.7593595386,gain,contextual_lgbm_v1
lgbm_stack,competition_category_world_cup_qualifier,world_cup_2018,95.0000000000,split,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_home_win,world_cup_2018,0.0003119589,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_draw,world_cup_2018,0.0016349370,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_prob_away_win,world_cup_2018,0.0354805569,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_home_goals,world_cup_2018,-0.0058719908,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_expected_away_goals,world_cup_2018,0.0230585842,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_home_win,world_cup_2018,0.0027115396,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_draw,world_cup_2018,-0.0048561666,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_logit_away_win,world_cup_2018,0.0144140837,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,base_poisson_log_home_away_ratio,world_cup_2018,0.0073447683,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,home_elo_pre,world_cup_2018,-0.0078785562,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,away_elo_pre,world_cup_2018,-0.0279912120,permutation_log_loss_delta,contextual_lgbm_v1
lgbm_stack,elo_difference_pre,world_cup_2018,0.0089955272,permutation_log_loss_delta,contextual_lgbm_v1
