ablation_a,brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
lgbm_contextual,-0.2759363641,FIFA World Cup,world_cup_2022,-0.4013509706,2022-12-01,international_results_csv-00a27f9ad5aa23730c88,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.1087933037
lgbm_contextual,0.0287634959,UEFA Euro,euro_2024,0.0366830618,2024-06-14,international_results_csv-00ca9eb2da1f93dafa93,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0045358852
lgbm_contextual,-0.1391957703,UEFA Euro,euro_2024,-0.2377198110,2024-06-30,international_results_csv-01d853487e40e06b0dd6,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0470137325
lgbm_contextual,-0.0749245604,Copa América,copa_america_2024,-0.1201786339,2024-06-25,international_results_csv-053c6c578ca7842cf4aa,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0254667338
lgbm_contextual,-0.2433103844,FIFA World Cup,world_cup_2022,-0.3531228780,2022-11-30,international_results_csv-05bce2d6de741ae77f75,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0845181990
lgbm_contextual,0.4411986375,FIFA World Cup,world_cup_2022,0.7591537824,2022-11-30,international_results_csv-064a18ffdf283cf53f0d,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.2457852847
lgbm_contextual,-0.0911482092,FIFA World Cup,world_cup_2018,-0.1598536370,2018-07-02,international_results_csv-06e35fd48600c0af0762,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0277910897
lgbm_contextual,-0.1671080757,Copa América,copa_america_2024,-0.2535299690,2024-06-24,international_results_csv-078d38951aa268590396,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0561413014
lgbm_contextual,0.0900353423,FIFA World Cup,world_cup_2022,-0.0049163869,2022-12-01,international_results_csv-083a7495e6b01a59a23e,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0667579900
lgbm_contextual,0.0971727527,FIFA World Cup,world_cup_2018,0.1263646199,2018-06-26,international_results_csv-08704102bb3f34a36601,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0542890921
lgbm_contextual,-0.0860908467,FIFA World Cup,world_cup_2022,-0.1149254428,2022-11-26,international_results_csv-0c11873de872f27abde2,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0274829256
lgbm_contextual,-0.0252942770,Copa América,copa_america_2024,-0.0366130794,2024-07-01,international_results_csv-0ccde3f3b100ac5784d7,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0079289064
lgbm_contextual,-0.0363740833,Copa América,copa_america_2024,-0.0690436777,2024-06-20,international_results_csv-0da3fdd58b0bcb55a9c3,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0129410103
lgbm_contextual,-0.0915521867,FIFA World Cup,world_cup_2022,-0.3233912765,2022-12-10,international_results_csv-0e7928798157c7c63e46,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0188025226
lgbm_contextual,-0.1200644919,FIFA World Cup,world_cup_2022,-0.1777537415,2022-12-04,international_results_csv-0f95621134a4fb0d6bf9,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0399279449
lgbm_contextual,0.1778555727,UEFA Euro,euro_2024,0.4740698965,2024-06-17,international_results_csv-0fa1a1ae832ba71ee709,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0913053410
lgbm_contextual,-0.0292477785,UEFA Euro,euro_2024,-0.0647492440,2024-06-30,international_results_csv-11619d81a979cc5fe28d,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0093620473
lgbm_contextual,0.0718306499,FIFA World Cup,world_cup_2022,0.0942470168,2022-12-01,international_results_csv-11e2bd3b4a7ef125ac5f,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0250917222
lgbm_contextual,0.1173145304,FIFA World Cup,world_cup_2022,0.1761208126,2022-11-23,international_results_csv-1252b10377cebb51c211,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0244595503
lgbm_contextual,-0.0877002834,FIFA World Cup,world_cup_2022,-0.1428457101,2022-12-13,international_results_csv-12c013cde27369d2c962,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0295923076
lgbm_contextual,-0.0977958719,FIFA World Cup,world_cup_2018,-0.1449203562,2018-06-24,international_results_csv-14b18a7085e0239d664b,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0361975140
lgbm_contextual,-0.0516331040,FIFA World Cup,world_cup_2022,-0.0840316215,2022-12-02,international_results_csv-161dcc18bad0fded5fb3,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0207830817
lgbm_contextual,-0.0726418918,FIFA World Cup,world_cup_2018,-0.2322648408,2018-06-30,international_results_csv-18df55c3b1141842f275,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0009662317
lgbm_contextual,-0.0157102276,FIFA World Cup,world_cup_2022,-0.0235910152,2022-11-22,international_results_csv-18fbcaa0c3182f0c0566,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0033096015
lgbm_contextual,-0.0309827188,FIFA World Cup,world_cup_2022,-0.0490577796,2022-11-29,international_results_csv-196eb4a0f0050406cf68,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0144726796
lgbm_contextual,-0.1415535014,FIFA World Cup,world_cup_2022,-0.1936041453,2022-11-24,international_results_csv-1c49ea36172f315bb21e,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0574126300
lgbm_contextual,0.1392863226,FIFA World Cup,world_cup_2022,0.1474109995,2022-11-22,international_results_csv-1e226147e62452b3ea57,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,0.0424129821
lgbm_contextual,0.0041507979,FIFA World Cup,world_cup_2022,0.0286983299,2022-11-28,international_results_csv-22190c2529f0255220ef,contextual_lgbm_v1,poisson_goal_v1,contextual_lgbm_v1::lgbm_contextual_minus_poisson_goal_v1::poisson_official,-0.0033289865
