bin,bin_lower,bin_upper,class,fold,matches,mean_predicted_probability,observed_frequency
1,0.0,0.1,home_win,copa_america_2024,1,0.06706412822359153,0.0
2,0.1,0.2,home_win,copa_america_2024,2,0.1304391094318279,0.0
3,0.2,0.30000000000000004,home_win,copa_america_2024,2,0.27181755598144747,0.5
4,0.30000000000000004,0.4,home_win,copa_america_2024,5,0.3649684376576247,0.0
5,0.4,0.5,home_win,copa_america_2024,3,0.4362624013951076,0.3333333333333333
6,0.5,0.6000000000000001,home_win,copa_america_2024,4,0.5373618517147037,0.75
7,0.6000000000000001,0.7000000000000001,home_win,copa_america_2024,3,0.6755243210340746,0.6666666666666666
8,0.7000000000000001,0.8,home_win,copa_america_2024,3,0.7713340121642182,0.6666666666666666
9,0.8,0.9,home_win,copa_america_2024,5,0.8515673318144158,1.0
1,0.0,0.1,draw,copa_america_2024,4,0.08637360300149748,0.0
2,0.1,0.2,draw,copa_america_2024,10,0.1444930555379576,0.1
3,0.2,0.30000000000000004,draw,copa_america_2024,14,0.23593754019722182,0.2857142857142857
1,0.0,0.1,away_win,copa_america_2024,7,0.06655219501767667,0.0
2,0.1,0.2,away_win,copa_america_2024,4,0.13294777625442106,0.25
3,0.2,0.30000000000000004,away_win,copa_america_2024,5,0.2501245911714015,0.2
4,0.30000000000000004,0.4,away_win,copa_america_2024,6,0.3647873017611613,0.3333333333333333
5,0.4,0.5,away_win,copa_america_2024,2,0.44794672847270856,0.5
6,0.5,0.6000000000000001,away_win,copa_america_2024,1,0.5349223025743463,1.0
7,0.6000000000000001,0.7000000000000001,away_win,copa_america_2024,1,0.6875829916378643,1.0
8,0.7000000000000001,0.8,away_win,copa_america_2024,1,0.7527308975007077,1.0
9,0.8,0.9,away_win,copa_america_2024,1,0.8452506675802367,1.0
1,0.0,0.1,home_win,euro_2024,2,0.06485842929174945,0.5
2,0.1,0.2,home_win,euro_2024,6,0.16258971070028286,0.0
3,0.2,0.30000000000000004,home_win,euro_2024,8,0.2610177680329022,0.25
4,0.30000000000000004,0.4,home_win,euro_2024,7,0.3556118989734212,0.0
5,0.4,0.5,home_win,euro_2024,6,0.4531138786778593,0.5
6,0.5,0.6000000000000001,home_win,euro_2024,4,0.5477230465568506,0.75
7,0.6000000000000001,0.7000000000000001,home_win,euro_2024,6,0.6591076180722633,0.6666666666666666
8,0.7000000000000001,0.8,home_win,euro_2024,6,0.7539045277288631,0.5
9,0.8,0.9,home_win,euro_2024,3,0.8225202728448311,0.6666666666666666
1,0.0,0.1,draw,euro_2024,1,0.06828487423691909,0.0
2,0.1,0.2,draw,euro_2024,21,0.15424523319372124,0.23809523809523808
3,0.2,0.30000000000000004,draw,euro_2024,26,0.23148646433571946,0.34615384615384615
1,0.0,0.1,away_win,euro_2024,5,0.07487201423339707,0.2
2,0.1,0.2,away_win,euro_2024,10,0.13694545378337405,0.1
3,0.2,0.30000000000000004,away_win,euro_2024,7,0.2552814279674213,0.14285714285714285
4,0.30000000000000004,0.4,away_win,euro_2024,7,0.35860667984253963,0.5714285714285714
5,0.4,0.5,away_win,euro_2024,6,0.45078031334281055,0.5
6,0.5,0.6000000000000001,away_win,euro_2024,4,0.5256621889323078,0.0
7,0.6000000000000001,0.7000000000000001,away_win,euro_2024,6,0.6449713961366065,0.6666666666666666
8,0.7000000000000001,0.8,away_win,euro_2024,1,0.716303743443777,1.0
9,0.8,0.9,away_win,euro_2024,2,0.8507666623740475,0.5
1,0.0,0.1,home_win,world_cup_2018,1,0.09980174204095771,0.0
2,0.1,0.2,home_win,world_cup_2018,1,0.15496287697932654,1.0
3,0.2,0.30000000000000004,home_win,world_cup_2018,9,0.251288762070333,0.0
4,0.30000000000000004,0.4,home_win,world_cup_2018,18,0.35449384677382584,0.3333333333333333
