canonical_team_id,source,source_name,valid_from,valid_to,notes
argentina,synthetic_fixture,Argentina,1902-07-20,,
germany,synthetic_fixture,Germany,1908-04-05,,
german_dr,synthetic_fixture,German DR,1952-09-21,1990-09-12,Historical entity kept separate from Germany.
ivory_coast,synthetic_fixture,Ivory Coast,1960-04-14,,
united_states,synthetic_fixture,USA,1885-11-28,,Fixture-only abbreviation for United States.
abkhazia,international_results_csv,Abkhazia,,,Exact observed source name from martj42/international_results.
afghanistan,international_results_csv,Afghanistan,,,Exact observed source name from martj42/international_results.
albania,international_results_csv,Albania,,,Exact observed source name from martj42/international_results.
alderney,international_results_csv,Alderney,,,Exact observed source name from martj42/international_results.
algeria,international_results_csv,Algeria,,,Exact observed source name from martj42/international_results.
ambazonia,international_results_csv,Ambazonia,,,Exact observed source name from martj42/international_results.
american_samoa,international_results_csv,American Samoa,,,Exact observed source name from martj42/international_results.
andalusia,international_results_csv,Andalusia,,,Exact observed source name from martj42/international_results.
andorra,international_results_csv,Andorra,,,Exact observed source name from martj42/international_results.
angola,international_results_csv,Angola,,,Exact observed source name from martj42/international_results.
anguilla,international_results_csv,Anguilla,,,Exact observed source name from martj42/international_results.
antigua_and_barbuda,international_results_csv,Antigua and Barbuda,,,Exact observed source name from martj42/international_results.
arameans_suryoye,international_results_csv,Arameans Suryoye,,,Exact observed source name from martj42/international_results.
argentina,international_results_csv,Argentina,,,Exact observed source name from martj42/international_results.
armenia,international_results_csv,Armenia,,,Exact observed source name from martj42/international_results.
artsakh,international_results_csv,Artsakh,,,Exact observed source name from martj42/international_results.
aruba,international_results_csv,Aruba,,,Exact observed source name from martj42/international_results.
asturias,international_results_csv,Asturias,,,Exact observed source name from martj42/international_results.
australia,international_results_csv,Australia,,,Exact observed source name from martj42/international_results.
austria,international_results_csv,Austria,,,Exact observed source name from martj42/international_results.
aymara,international_results_csv,Aymara,,,Exact observed source name from martj42/international_results.
azerbaijan,international_results_csv,Azerbaijan,,,Exact observed source name from martj42/international_results.
bahamas,international_results_csv,Bahamas,,,Exact observed source name from martj42/international_results.
bahrain,international_results_csv,Bahrain,,,Exact observed source name from martj42/international_results.
bangladesh,international_results_csv,Bangladesh,,,Exact observed source name from martj42/international_results.
barawa,international_results_csv,Barawa,,,Exact observed source name from martj42/international_results.
barbados,international_results_csv,Barbados,,,Exact observed source name from martj42/international_results.
basque_country,international_results_csv,Basque Country,,,Exact observed source name from martj42/international_results.
belarus,international_results_csv,Belarus,,,Exact observed source name from martj42/international_results.
belgium,international_results_csv,Belgium,,,Exact observed source name from martj42/international_results.
belize,international_results_csv,Belize,,,Exact observed source name from martj42/international_results.
benin,international_results_csv,Benin,,,Exact observed source name from martj42/international_results.
bermuda,international_results_csv,Bermuda,,,Exact observed source name from martj42/international_results.
bhutan,international_results_csv,Bhutan,,,Exact observed source name from martj42/international_results.
biafra,international_results_csv,Biafra,,,Exact observed source name from martj42/international_results.
bolivia,international_results_csv,Bolivia,,,Exact observed source name from martj42/international_results.
bonaire,international_results_csv,Bonaire,,,Exact observed source name from martj42/international_results.
bosnia_and_herzegovina,international_results_csv,Bosnia and Herzegovina,,,Exact observed source name from martj42/international_results.
botswana,international_results_csv,Botswana,,,Exact observed source name from martj42/international_results.
brazil,international_results_csv,Brazil,,,Exact observed source name from martj42/international_results.
british_virgin_islands,international_results_csv,British Virgin Islands,,,Exact observed source name from martj42/international_results.
brittany,international_results_csv,Brittany,,,Exact observed source name from martj42/international_results.
brunei,international_results_csv,Brunei,,,Exact observed source name from martj42/international_results.
bulgaria,international_results_csv,Bulgaria,,,Exact observed source name from martj42/international_results.
burkina_faso,international_results_csv,Burkina Faso,,,Exact observed source name from martj42/international_results.
burundi,international_results_csv,Burundi,,,Exact observed source name from martj42/international_results.
cambodia,international_results_csv,Cambodia,,,Exact observed source name from martj42/international_results.
cameroon,international_results_csv,Cameroon,,,Exact observed source name from martj42/international_results.
canada,international_results_csv,Canada,,,Exact observed source name from martj42/international_results.
canary_islands,international_results_csv,Canary Islands,,,Exact observed source name from martj42/international_results.
cape_verde,international_results_csv,Cape Verde,,,Exact observed source name from martj42/international_results.
cascadia,international_results_csv,Cascadia,,,Exact observed source name from martj42/international_results.
catalonia,international_results_csv,Catalonia,,,Exact observed source name from martj42/international_results.
