venue_id,canonical_name,provider_aliases,city,country,latitude,longitude,elevation_m,timezone,source_name,source_url,source_retrieved_at,source_version
bc_place_vancouver,BC Place Vancouver,BC Place|BC Place Vancouver,Vancouver,Canada,49.276666666,-123.111944444,18,America/Vancouver,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q612227|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q612227|open_meteo_elevation_2026-07-01
toronto_stadium,Toronto Stadium,Toronto Stadium|BMO Field,Toronto,Canada,43.632778,-79.418611,83,America/Toronto,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q796351|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q796351|open_meteo_elevation_2026-07-01
mexico_city_stadium,Mexico City Stadium,Mexico City Stadium|Estadio Azteca,Mexico City,Mexico,19.303055555,-99.150555555,2245,America/Mexico_City,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q320454|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q320454|open_meteo_elevation_2026-07-01
guadalajara_stadium,Guadalajara Stadium,Guadalajara Stadium|Estadio Akron|Estadio Guadalajara,Zapopan,Mexico,20.681667,-103.462778,1675,America/Mexico_City,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q666183|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q666183|open_meteo_elevation_2026-07-01
monterrey_stadium,Monterrey Stadium,Monterrey Stadium|Estadio BBVA|Estadio Monterrey,Guadalupe,Mexico,25.670172,-100.2437,491,America/Monterrey,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q3058827|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q3058827|open_meteo_elevation_2026-07-01
atlanta_stadium,Atlanta Stadium,Atlanta Stadium|Mercedes-Benz Stadium,Atlanta,United States,33.755277777,-84.400833333,307,America/New_York,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q7007552|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q7007552|open_meteo_elevation_2026-07-01
boston_stadium,Boston Stadium,Boston Stadium|Gillette Stadium,Foxborough,United States,42.090944444,-71.264344444,89,America/New_York,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q373355|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q373355|open_meteo_elevation_2026-07-01
dallas_stadium,Dallas Stadium,Dallas Stadium|AT&T Stadium,Arlington,United States,32.74769,-97.09288,193,America/Chicago,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q838284|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q838284|open_meteo_elevation_2026-07-01
houston_stadium,Houston Stadium,Houston Stadium|NRG Stadium,Houston,United States,29.684722222,-95.410833333,13,America/Chicago,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q1058864|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q1058864|open_meteo_elevation_2026-07-01
kansas_city_stadium,Kansas City Stadium,Kansas City Stadium|Arrowhead Stadium,Kansas City,United States,39.048888888,-94.483888888,259,America/Chicago,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q544553|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q544553|open_meteo_elevation_2026-07-01
los_angeles_stadium,Los Angeles Stadium,Los Angeles Stadium|SoFi Stadium,Inglewood,United States,33.9504,-118.338,35,America/Los_Angeles,FIFA venue list; Wikidata coordinates; Open-Meteo elevation; IANA TZDB,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/stadiums|https://www.wikidata.org/wiki/Q19520501|https://api.open-meteo.com/v1/elevation,2026-07-01,fifa_world_cup_26_venues_2026-07-01|wikidata:Q19520501|open_meteo_elevation_2026-07-01
